省份,意图,产品,环节,应用场景,话术内容
山东,营销推荐,"20240902586449
20240419050260
20240902676814
20240902758964",营销切入环节,意图1-近期超套(无费用质疑),我看您这**月流量已用超**元啦，您关注过吗？咱超出后**元/G，太贵了，我帮您优化一下，能为您节省不少费用呢，我简单给您说一下，您听听看？
山东,营销推荐,,,意图2-近期超套(有费用质疑),我看您这**月流量已用超**元啦，您关注过吗？咱超出后**元/G，太贵了，我帮您申请个补救方案，您听听看？
山东,营销推荐,,,意图2-其他,关注到您还是**多年的**客户（全球通等级），正好您打过来了，我们可以给您申请个专享优惠，您听听看？
山东,营销推荐,,营销推荐环节,推荐意图,我看您现在是[uniProdGrade]元套餐，前期有[uniProdGrade-discountExpenses]元打折优惠，[privEndMonth] 时间到期后恢复原价[uniProdGrade]元，这样太不划算了，现在套餐焕新了可以给您优化一下，套餐档次不变，升级到[flow+giftFlow]GB国内流量，其中套餐内[flow]GB，扩容流量[giftFlow]GB，通话分钟数不变。这样流量比您之前多了[flow+giftFlow-tf]G，跟副卡可以共享的流量也有[shareFlow]G了，而且每月还可以多享受1项权益呢（点选权益后跟读权益话术），用一年下来就又能节省不少钱，特别合适，现在直接申请下个账期就可以直接用了。
山东,营销推荐,,权益推荐环节,意图1-铂金标准版1年,您家里的水电费是在手机上交吗？（客户接受）那太好了，我们每月还给您申请15元水电费补贴，而且可以连续领取1年，总共能节省180元呢。（客户不接受）那没关系，咱每月可以领取爱优腾视频APP任选其一，咱自己不用再买好几个会员了，帮您把买会员的费用节省下来，以后您每月可以换着领更灵活。
山东,营销推荐,,,意图2-铂金生活版1年,您平时都是在**（客户归属地）吗？那太好了，每月还可以享受20元商超购物券，微信付款满20.1元直接给您减20元，领取激活后可到省内指定合作商超买东西，而且可以连续领取1年，总共能领取240元呢。
山东,营销推荐,,,意图3-铂金车主版1年,您平常上下班开车吗？（客户接受）那正好每个月还可以领取20元加油补贴（2张10元）/20元停车券（2张5元+5张2元）/20元电车充电代金券（4张5元）/20元滴滴打车券（2张10元）/20元滴滴代驾券（2张10元）中任选其一，而且可以连续领取1年，总共能领取240元呢。
山东,营销推荐,,犹豫挽留环节,意图1-明确拒绝不需要,这个您别担心哈，新优惠也还没给您办理，是因为我看您现在用的业务还不是最适合您的，正好可以申请一个优惠活动，您先听听看，千万不要错过优惠。
山东,营销推荐,,,意图2-不小心才超出,我明白，您这次确实是不小心使用超出的，很多客户都会有这种情况，因为咱们退费仅限这一次，如果后期再有超出情况就无法申请退还了，所以很多像您一样的客户都会根据自己的需求找一个适合自己的资费，现在正好有焕新活动，费用上没有增加太多，但有了更多的流量，以后出门用流量的地方也多了，不用总担心流量不够用或是超出的问题了，咱们都希望花小钱办大事，您说对吧。
山东,营销推荐,,,意图3-有另一张卡在用,我能理解，现在大部分人的手机上都是两张卡，但一般过了优惠期就不再合适了，您都用了我们公司这么多年了，我们也是希望您能用的好，所以我们也是给您申请了更适合您的优惠活动，错过了就可惜了。
山东,营销推荐,,,意图4-流量/分钟用不完,听得出来，您是一位非常理性的消费者，咱们都希望您用的好。而这个焕新套餐优惠力度非常大，性价比很高，可能随时会下线，如果现在不办理，后期可能就没有了。
山东,营销推荐,,,意图5-不限量迁出担心用超收费,"我理解您的担心，给您推荐的这个已经是结合您的使用需求考虑进来了，您之前一个月大概使用**G，这个新套餐里面有[flow+giftFlow]G,结合您原来的使用情况基本符合您的使用需求。最主要的是以后您都不限速了，您前期有时候发个微信就要等半天，这样以后不用担心降速之后网络卡顿给自己带来的烦恼了。"
山东,营销推荐,,,意图6-用多少扣多少，不改套餐,能听出来您是不差钱的人，但既然您的电话打到我这边来了，从服务的角度来讲，更愿意给您找一个适合的资费，咱能省点就省点，大家挣钱都不容易，小钱省多了也就成大钱了，您说对吧。
山东,营销推荐,,,意图7-赠送的流量都用不完,咱现在也都是用5G手机了，后期用网的地方也越来越多，赠送也不会一直有，咱多备着点总比到时候不够用超出扣钱合适吧，咱流量多点儿，用起来也更畅快、放心些，您说对吧？现在刚好有焕新活动，优惠力度这么大，错过太可惜了。
山东,营销推荐,,,意图8-再考虑一下,您说要考虑考虑，看的出来您还是比较谨慎的，谨慎点也是好事， 谁都希望自己用的套餐性价比是最合适的，您说对吧？这次活动确实非常划算，很多使用您这款套餐的客户都已经参加了，主要是这个活动随时会结束，如果错过真的就太可惜了，我赶紧申请上吧？
山东,营销推荐,,,意图9-到厅咨询/信任线下,您去营业厅咨询也是可以的，但是现在营业厅比较忙，去了一般都得排队/花时间找车位，咱大家现在生活节奏都很快，这样很浪费您的时间，为了更好的给您提供服务，我们线上也是可以为您办理的，我们这里全程都是有录音的，这既是对您权益的保障，也是对我服务的监管，请您放心。
山东,营销推荐,,,意图10-无反馈或沉默,您现在不说话相信您是在慎重思考这个套餐，您是对这个是有什么顾虑吗？（停顿），如果没有顾虑，咱都觉得挺合适，那我现在帮您申请一下吧？
山东,营销推荐,,,意图11-跟家人再商量一下,您说要跟家人商量一下，说明您平时和家人关系非常不错啊，家庭氛围真好，因为这个活动机会特别难得，相信您的家人也会觉得合适。这样可以添加下您的微信，您和您家人都可以通过这个微信咨询，也比较方便。
山东,营销推荐,"20250902210416
20258158303671",营销切入环节,意图1-近期超套(无费用质疑),我看您这**月流量已用超**元啦，您关注过吗？咱超出后**元/G，太贵了，我帮您优化一下，能为您节省不少费用呢，我简单给您说一下，您听听看？
山东,营销推荐,,,意图2-近期超套(有费用质疑),我看您这**月流量已用超**元啦，您关注过吗？咱超出后**元/G，太贵了，我帮您申请个补救方案，您听听看？
山东,营销推荐,,,意图2-其他,关注到您还是**多年的**客户（全球通等级），正好您打过来了，我们可以给您申请个专享优惠，您听听看？
